Date,Year,Reef,ReefName,Site_name,Site_No,Lat,Long,Project,Collection organisation,Collection vessel,Reef_rep,Site_rep,PCR1_binary,PCR2_binary,LOD_sample_positive,PCR1_conc,PCR2_conc,Conc_mean
6/05/2019,2019,Bait Reef,Bait Reef (19-137),Bait1,1,-19.79426667,149.07665,AIMS Appropriation,AIMS,RV Cape Ferguson,1,1,1,0,1,71.86991125,0,35.93495563
6/05/2019,2019,Bait Reef,Bait Reef (19-137),Bait1,1,-19.79378333,149.0748833,AIMS Appropriation,AIMS,RV Cape Ferguson,2,2,0,1,1,0,74.69391525,37.34695762
6/05/2019,2019,Bait Reef,Bait Reef (19-137),Bait1,1,-19.79255,149.0717,AIMS Appropriation,AIMS,RV Cape Ferguson,3,3,0,0,0,0,0,0
6/05/2019,2019,Bait Reef,Bait Reef (19-137),Bait1,1,-19.79363333,149.0684667,AIMS Appropriation,AIMS,RV Cape Ferguson,4,4,0,0,0,0,0,0
6/05/2019,2019,Bait Reef,Bait Reef (19-137),Bait1,1,-19.79718333,149.0664,AIMS Appropriation,AIMS,RV Cape Ferguson,5,5,0,0,0,0,0,0
6/05/2019,2019,Bait Reef,Bait Reef (19-137),Bait1,1,-19.80063333,149.0644,AIMS Appropriation,AIMS,RV Cape Ferguson,6,6,0,0,0,0,0,0
6/05/2019,2019,Bait Reef,Bait Reef (19-137),Bait1,1,-19.80321667,149.0638667,AIMS Appropriation,AIMS,RV Cape Ferguson,7,7,0,0,0,0,0,0
6/05/2019,2019,Bait Reef,Bait Reef (19-137),Bait1,1,-19.80683333,149.0652667,AIMS Appropriation,AIMS,RV Cape Ferguson,8,8,0,0,0,0,0,0
6/05/2019,2019,Bait Reef,Bait Reef (19-137),Bait1,1,-19.80683333,149.0652667,AIMS Appropriation,AIMS,RV Cape Ferguson,9,9,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER1,1,-19.3294,149.05355,AIMS Appropriation,AIMS,RV Cape Ferguson,1,1,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER1,1,-19.3294,149.05355,AIMS Appropriation,AIMS,RV Cape Ferguson,2,2,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER1,1,-19.3294,149.05355,AIMS Appropriation,AIMS,RV Cape Ferguson,3,3,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER1,1,-19.3294,149.05355,AIMS Appropriation,AIMS,RV Cape Ferguson,4,4,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER1,1,-19.3294,149.05355,AIMS Appropriation,AIMS,RV Cape Ferguson,5,5,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER1,1,-19.3294,149.05355,AIMS Appropriation,AIMS,RV Cape Ferguson,6,6,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER1,1,-19.3294,149.05355,AIMS Appropriation,AIMS,RV Cape Ferguson,7,7,0,1,1,0,62.30389327,31.15194663
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER1,1,-19.3294,149.05355,AIMS Appropriation,AIMS,RV Cape Ferguson,8,8,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER1,1,-19.3294,149.05355,AIMS Appropriation,AIMS,RV Cape Ferguson,9,9,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER1,1,-19.3294,149.05355,AIMS Appropriation,AIMS,RV Cape Ferguson,10,10,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER2,2,-19.33433333,149.05045,AIMS Appropriation,AIMS,RV Cape Ferguson,11,1,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER2,2,-19.33433333,149.05045,AIMS Appropriation,AIMS,RV Cape Ferguson,12,2,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER2,2,-19.33433333,149.05045,AIMS Appropriation,AIMS,RV Cape Ferguson,13,3,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER2,2,-19.33433333,149.05045,AIMS Appropriation,AIMS,RV Cape Ferguson,14,4,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER2,2,-19.33433333,149.05045,AIMS Appropriation,AIMS,RV Cape Ferguson,15,5,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER2,2,-19.33433333,149.05045,AIMS Appropriation,AIMS,RV Cape Ferguson,16,6,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER2,2,-19.33433333,149.05045,AIMS Appropriation,AIMS,RV Cape Ferguson,17,7,0,0,0,0,0,0
7/05/2019,2019,Elizabeth Reef,Elizabeth Reef (19-082),ER2,2,-19.33433333,149.05045,AIMS Appropriation,AIMS,RV Cape Ferguson,18,8,0,0,0,0,0,0
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,1,1,1,1,1,232.9900861,144.3522111,188.6711486
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,2,2,1,1,1,738.4737253,296.0708946,517.27231
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,3,3,1,1,1,444.0442622,343.0276841,393.5359731
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,4,4,1,1,1,691.4868414,1085.416281,888.4515613
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,5,5,1,1,1,639,405,522
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,6,6,1,1,1,144,423,283.5
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,7,7,1,1,1,414,675,544.5
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,8,8,1,1,1,396,468,432
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,9,9,1,1,1,639,270,454.5
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,10,10,1,1,1,378,513,445.5
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,31,1,0,0,0,0,0,0
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,32,2,0,0,0,0,0,0
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,33,3,0,1,1,0,63,31.5
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,34,4,0,1,1,0,72,36
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,35,5,0,1,1,0,72,36
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,36,6,1,1,1,666,522,594
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,37,7,0,0,0,0,0,0
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,38,8,1,1,1,126,126,126
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,39,9,0,0,0,0,0,0
8/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,40,10,1,1,1,1224,1287,1255.5
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,11,11,1,1,1,252,360,306
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,12,12,1,1,1,450,324,387
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,13,13,1,1,1,351,198,274.5
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,14,14,1,1,1,243,315,279
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,15,15,1,1,1,234,63,148.5
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,16,16,1,1,1,225,486,355.5
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,17,17,0,1,1,0,207,103.5
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,18,18,1,1,1,486,198,342
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,19,19,1,1,1,72,144,108
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA1,1,-19.0381,147.9262833,AIMS Appropriation,AIMS,RV Cape Ferguson,20,20,1,1,1,144,72,108
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,41,11,0,1,1,0,63,31.5
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,42,12,0,0,0,0,0,0
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,43,13,1,1,1,135,63,99
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,44,14,1,1,1,144,81,112.5
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,45,15,0,0,0,0,0,0
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,46,16,0,0,0,0,0,0
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,47,17,1,1,1,72,72,72
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,48,18,1,0,1,72,0,36
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,49,19,1,1,1,72,72,72
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,50,20,0,1,1,0,81,40.5
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,51,21,0,0,0,0,0,0
9/05/2019,2019,Bowden Reef,Bowden Reef (19-019),BREDNA2,2,-19.0308,147.93625,AIMS Appropriation,AIMS,RV Cape Ferguson,52,22,0,1,1,0,69.4743298,34.7371649
