Unnamed: 0,Site_id,Station,Date,Time,no_plankton_casts_averaged,Collection.organisation,Trip,Av_tow_depth,Lat,Lon,Cast_type,Av.volume.filtered,Av.copies.tow,Av.copies.m3,Av.larvae.tow,Av.max.larvae.tow,Av.min.larvae.tow,Av.larvae.m3,Av.max.larvae.m3,Av.min.larvae.m3,Season,copy_log_trans,dayofyear,dayofyear2,distance_to_qld_coast_m_x,distance_to_qld_coast_km_x,model_lat,model_lon,model_time,model_time_before,model_time_after,model_weight_after,model_Alligator,model_Annan,model_BaffleBabble,model_Barratta,model_Barron,model_Black,model_Bloomfield,model_Bluewater,model_Bohle,model_Boyne,model_BrisbaneBremer,model_Burdekin,model_Burnett,model_Burrum,model_Caboolture,model_Calliope,model_Carmila,model_Constant,model_Coochin,model_Coomera,model_Currumbin,model_Daintree,model_Don,model_Eliott,model_Elliot,model_Endeavour,model_Euri,model_Fitzroy,model_Fly,model_Gregory,model_Haughton,model_Herbert,model_Jackey,model_Jeannie,model_Johnstone,model_Kolan,model_Kz,model_Liverpool,model_Lockhart,model_LoganAlbert,model_Maroochy,model_Mary,model_Meunga,model_Mooloohah,model_Mossman,model_MulgraveRussell,model_Murray,model_Nerang,model_Noosa,model_NorthKennedy,model_OConnell,model_Pascoe,model_Pine,model_Pioneer,model_Plane,model_Proserpine,model_Ross,model_Sandy,model_Shoalwater,model_StHelens,model_Stewart,model_Styx,model_Tallebudgera,model_Trinity,model_Tully,model_Waterpark,model_upwelling,model_temp,model_salt,model_Chl_a_sum,model_DetPL_N,model_DetR_N,model_DetBL_N,model_PhyL_N,model_PhyS_N,model_Tricho_N,model_DIN,model_Oxygen,spawning_year,distance_to_qld_coast_m_y,distance_to_shelf_edge_m,inside_gbr_shelf,relative_distance_across_shelf,distance_to_qld_coast_km_y,distance_to_shelf_edge_km
1,2,6088_02,18/12/2014,7:53:00 AM,1,AIMS,6088,49,-15.6958333,145.7290167,Vertical Tow,9.8,365316506.1,37277194.5,73.66278369,166.3889874,47.30202944,7.51661058,16.97846811,4.826737698,14_15,7.571443231,352,-13,39379.16192,39.37916192,-15.7138185,145.7258368,2014-12-18T07:53:00+10:00,2014-12-17T12:00:00+10:00,2014-12-18T12:00:00+10:00,0.828472222,1.79E-07,5.36E-07,3.05E-07,6.11E-07,1.59E-06,2.81E-07,7.90E-07,0,9.15E-07,1.09E-07,1.58E-08,1.45E-05,7.99E-07,2.64E-07,3.99E-09,7.26E-08,2.32E-07,1.09E-07,7.37E-09,4.49E-12,5.54E-14,3.57E-06,3.49E-07,5.29E-08,3.45E-07,5.26E-07,3.08E-07,4.05E-06,0.000110405,3.90E-07,7.55E-07,8.75E-06,1.23E-08,3.38E-07,3.37E-06,1.81E-07,2.34E-05,1.26E-06,1.11E-06,7.58E-10,1.41E-08,5.75E-07,1.24E-06,5.33E-09,1.27E-06,2.97E-06,9.28E-07,1.94E-12,3.64E-08,1.93E-06,3.55E-07,3.68E-06,4.83E-09,6.05E-07,1.37E-07,4.19E-07,3.01E-07,3.84E-07,5.49E-07,6.07E-07,5.17E-06,6.67E-07,3.21E-14,0,5.35E-06,1.27E-07,8.88E-06,29.64526389,35.24793109,0.066319738,0.007190626,2.87E-06,0.000305678,9.92E-13,0.50807162,0.191935856,0.055545918,6521.115986,2014,39379.16192,8786.108068,TRUE,0.817584162,39.37916192,8.786108068
2,3,6088_03,18/12/2014,8:52:00 AM,1,AIMS,6088,37,-15.6638333,145.6606667,Vertical Tow,7.4,287060716.8,38791988.76,57.88320849,130.7461919,37.16928814,7.822055201,17.66840431,5.022876776,14_15,7.588742056,352,-13,32758.69379,32.75869379,-15.6891943,145.6613395,2014-12-18T08:52:00+10:00,2014-12-17T12:00:00+10:00,2014-12-18T12:00:00+10:00,0.869444444,1.77E-07,5.24E-07,2.98E-07,6.08E-07,1.60E-06,2.77E-07,7.72E-07,0,9.03E-07,1.06E-07,1.54E-08,1.45E-05,7.82E-07,2.57E-07,3.89E-09,7.08E-08,2.26E-07,1.06E-07,7.18E-09,4.38E-12,5.40E-14,3.57E-06,3.49E-07,5.15E-08,3.45E-07,5.18E-07,3.08E-07,3.94E-06,0.000103387,3.86E-07,7.51E-07,8.70E-06,1.22E-08,3.34E-07,3.31E-06,1.77E-07,2.14E-05,1.22E-06,1.10E-06,7.39E-10,1.38E-08,5.60E-07,1.23E-06,5.20E-09,1.29E-06,2.92E-06,9.14E-07,1.89E-12,3.55E-08,1.93E-06,3.49E-07,3.66E-06,4.71E-09,5.91E-07,1.34E-07,4.13E-07,2.99E-07,3.74E-07,5.35E-07,5.96E-07,5.16E-06,6.49E-07,3.13E-14,0,5.28E-06,1.24E-07,5.30E-06,29.67665636,35.24413182,0.067016041,0.007155829,2.81E-06,0.000444536,9.92E-13,0.525519737,0.197339404,0.056762413,6526.509852,2014,32758.69379,16587.23812,TRUE,0.663858043,32.75869379,16.58723812
3,4,6088_04,18/12/2014,9:23:00 AM,1,AIMS,6088,32,-15.625,145.595,Vertical Tow,6.4,229461218.7,35853315.42,46.26878839,104.5116199,29.71117139,7.229498187,16.32994061,4.642370529,14_15,7.554529334,352,-13,27301.69844,27.30169844,-15.619947,145.5770152,2014-12-18T09:23:00+10:00,2014-12-17T12:00:00+10:00,2014-12-18T12:00:00+10:00,0.890972222,1.43E-07,4.82E-07,2.47E-07,5.15E-07,1.34E-06,2.26E-07,6.36E-07,0,7.07E-07,8.84E-08,1.46E-08,1.36E-05,6.21E-07,2.30E-07,3.67E-09,5.64E-08,1.77E-07,7.98E-08,6.75E-09,4.23E-12,5.23E-14,2.39E-06,2.78E-07,4.54E-08,2.70E-07,4.93E-07,2.41E-07,3.43E-06,9.33E-05,2.86E-07,6.12E-07,7.30E-06,1.22E-08,3.29E-07,2.85E-06,1.48E-07,1.91E-05,1.01E-06,1.08E-06,7.08E-10,1.29E-08,5.12E-07,9.60E-07,4.88E-09,9.00E-07,2.40E-06,7.37E-07,1.83E-12,3.32E-08,1.93E-06,2.68E-07,3.63E-06,4.45E-09,4.66E-07,1.07E-07,2.89E-07,2.51E-07,2.95E-07,4.26E-07,4.39E-07,5.14E-06,5.43E-07,3.03E-14,0,3.89E-06,1.02E-07,2.37E-06,29.63611957,35.22997083,0.069371157,0.00707789,2.72E-06,0.000784971,9.92E-13,0.561435049,0.168084828,0.05194087,6527.928359,2014,27301.69844,23505.75658,TRUE,0.53735615,27.30169844,23.50575658
4,5,6088_05,18/12/2014,10:05:00 AM,1,AIMS,6088,32,-15.5866667,145.5446667,Vertical Tow,6.4,196771068,30745479.38,39.67711389,89.62239104,25.47837477,6.199549045,14.0034986,3.980996058,14_15,7.487781283,352,-13,23246.28173,23.24628173,-15.5757064,145.5575366,2014-12-18T10:05:00+10:00,2014-12-18T12:00:00+10:00,2014-12-18T12:00:00+10:00,0,1.36E-07,4.74E-07,2.35E-07,4.94E-07,1.28E-06,2.15E-07,6.07E-07,0,6.63E-07,8.46E-08,1.45E-08,1.34E-05,5.85E-07,2.24E-07,3.63E-09,5.32E-08,1.66E-07,7.39E-08,6.67E-09,4.21E-12,5.21E-14,2.11E-06,2.61E-07,4.42E-08,2.52E-07,4.89E-07,2.25E-07,3.33E-06,9.21E-05,2.63E-07,5.80E-07,6.98E-06,1.22E-08,3.28E-07,2.76E-06,1.42E-07,1.86E-05,9.68E-07,1.08E-06,7.03E-10,1.27E-08,5.03E-07,8.99E-07,4.82E-09,8.05E-07,2.28E-06,6.97E-07,1.82E-12,3.28E-08,1.92E-06,2.50E-07,3.62E-06,4.40E-09,4.38E-07,1.01E-07,2.60E-07,2.40E-07,2.78E-07,4.03E-07,4.04E-07,5.14E-06,5.21E-07,3.02E-14,0,3.58E-06,9.72E-08,1.87E-06,29.54930496,35.22661591,0.0691576,0.006114259,2.20E-06,0.000778756,9.92E-13,0.550587833,0.157211781,0.059978958,6526.555176,2014,23246.28173,28684.61431,TRUE,0.447638757,23.24628173,28.68461431
5,6,6088_06,18/12/2014,10:45:00 AM,1,AIMS,6088,29,-15.5455,145.456,Vertical Tow,5.8,324663722.1,55976503.81,65.46551588,147.8730555,42.03821258,11.28715791,25.4953544,7.247967686,14_15,7.748005777,352,-13,14652.23201,14.65223201,-15.5679074,145.4480007,2014-12-18T10:45:00+10:00,2014-12-18T12:00:00+10:00,2014-12-18T12:00:00+10:00,0,2.67E-07,1.20E-06,4.28E-07,8.55E-07,2.32E-06,4.07E-07,1.10E-06,0,1.42E-06,1.52E-07,1.68E-08,1.69E-05,1.20E-06,3.22E-07,4.35E-09,1.08E-07,3.50E-07,1.75E-07,8.08E-09,4.60E-12,5.62E-14,6.68E-06,5.43E-07,6.63E-08,5.48E-07,3.05E-06,4.94E-07,5.14E-06,0.00010882,6.52E-07,1.12E-06,1.24E-05,1.24E-08,3.38E-07,4.43E-06,2.51E-07,1.53E-05,1.74E-06,1.11E-06,7.92E-10,1.56E-08,6.66E-07,1.93E-06,5.86E-09,2.34E-06,4.23E-06,1.37E-06,1.99E-12,4.03E-08,1.93E-06,5.62E-07,3.69E-06,5.23E-09,9.09E-07,2.02E-07,7.44E-07,4.23E-07,5.74E-07,8.12E-07,1.01E-06,5.18E-06,9.08E-07,3.27E-14,0,8.92E-06,1.78E-07,3.41E-06,29.55245972,35.28392029,0.085067883,0.007800905,2.84E-06,0.001581693,9.92E-13,0.596762359,0.281793237,0.046521179,6537.301758,2014,14652.23201,38082.1435,TRUE,0.27784973,14.65223201,38.0821435
6,12,6088_12,19/12/2014,8:50:00 AM,1,AIMS,6088,45,-15.6155,145.77,Vertical Tow,9,419791080,46643453.33,84.64709096,191.2002649,54.35552375,9.405232328,21.24447388,6.039502639,14_15,7.668790706,353,-12,45564.42566,45.56442566,-15.5889074,145.7743189,2014-12-19T08:50:00+10:00,2014-12-18T12:00:00+10:00,2014-12-19T12:00:00+10:00,0.868055556,1.36E-07,4.85E-07,2.37E-07,4.93E-07,1.25E-06,2.18E-07,6.25E-07,0,6.69E-07,8.53E-08,1.46E-08,1.33E-05,5.87E-07,2.26E-07,3.64E-09,5.36E-08,1.68E-07,7.49E-08,6.69E-09,4.24E-12,5.25E-14,2.07E-06,2.58E-07,4.45E-08,2.50E-07,4.97E-07,2.21E-07,3.37E-06,1.00E-04,2.64E-07,5.78E-07,6.96E-06,1.21E-08,3.31E-07,2.81E-06,1.43E-07,7.76E-05,9.96E-07,1.09E-06,7.09E-10,1.28E-08,5.07E-07,9.02E-07,4.84E-09,7.58E-07,2.31E-06,7.06E-07,1.83E-12,3.29E-08,1.92E-06,2.51E-07,3.63E-06,4.42E-09,4.43E-07,1.02E-07,2.60E-07,2.41E-07,2.82E-07,4.07E-07,4.06E-07,5.14E-06,5.28E-07,3.04E-14,0,3.62E-06,9.84E-08,3.00E-06,29.67315197,35.22506012,0.059151513,0.005462852,2.09E-06,8.91E-06,9.92E-13,0.452282066,0.101948978,0.074630771,6526.222704,2014,45564.42566,4588.388719,TRUE,0.90851184,45.56442566,4.588388719
7,13,6088_13,19/12/2014,9:30:00 AM,1,AIMS,6088,41,-15.5861667,145.7993333,Vertical Tow,8.2,17675431.25,2155540.396,3.56409154,8.050545374,2.288655879,0.43464531,0.981773826,0.279104375,14_15,6.333556368,353,-12,49511.32505,49.51132505,-15.5701989,145.8182268,2014-12-19T09:30:00+10:00,2014-12-18T12:00:00+10:00,2014-12-19T12:00:00+10:00,0.895833333,1.34E-07,4.76E-07,2.32E-07,4.87E-07,1.23E-06,2.13E-07,6.13E-07,0,6.54E-07,8.35E-08,1.43E-08,1.33E-05,5.74E-07,2.22E-07,3.57E-09,5.23E-08,1.64E-07,7.26E-08,6.56E-09,4.19E-12,5.18E-14,2.01E-06,2.54E-07,4.36E-08,2.46E-07,4.88E-07,2.18E-07,3.30E-06,9.43E-05,2.57E-07,5.69E-07,6.85E-06,1.21E-08,3.28E-07,2.76E-06,1.40E-07,8.39E-05,9.73E-07,1.08E-06,6.98E-10,1.25E-08,4.97E-07,8.84E-07,4.73E-09,7.39E-07,2.25E-06,6.92E-07,1.81E-12,3.22E-08,1.91E-06,2.45E-07,3.61E-06,4.34E-09,4.31E-07,9.91E-08,2.53E-07,2.38E-07,2.74E-07,3.96E-07,3.95E-07,5.11E-06,5.15E-07,3.00E-14,0,3.52E-06,9.60E-08,9.54E-08,29.67839011,35.20723716,0.057362014,0.005101183,1.98E-06,1.00E-12,9.92E-13,0.41493405,0.092453585,0.105322906,6528.426615,2014,49511.32505,1620.301912,TRUE,0.968311161,49.51132505,1.620301912
8,14,6088_14,19/12/2014,10:15:00 AM,1,AIMS,6088,100,-15.5711667,145.8838333,Vertical Tow,20,0,0,0,0,0,0,0,0,14_15,0,353,-12,58720.51737,58.72051737,-15.5945336,145.8816152,2014-12-19T10:15:00+10:00,2014-12-19T12:00:00+10:00,2014-12-19T12:00:00+10:00,0,1.15E-07,4.36E-07,1.94E-07,4.37E-07,1.13E-06,1.83E-07,5.12E-07,0,5.42E-07,6.98E-08,1.29E-08,1.27E-05,4.67E-07,1.95E-07,3.16E-09,4.24E-08,1.30E-07,5.58E-08,5.80E-09,3.87E-12,4.79E-14,1.47E-06,2.21E-07,3.79E-08,2.12E-07,4.54E-07,1.88E-07,2.82E-06,7.34E-05,2.04E-07,4.97E-07,6.10E-06,1.19E-08,3.14E-07,2.43E-06,1.18E-07,9.70E-05,8.15E-07,1.04E-06,6.37E-10,1.10E-08,4.38E-07,7.38E-07,4.18E-09,5.98E-07,1.91E-06,5.85E-07,1.67E-12,2.84E-08,1.90E-06,1.97E-07,3.53E-06,3.86E-09,3.47E-07,8.03E-08,1.86E-07,2.10E-07,2.19E-07,3.19E-07,3.02E-07,5.04E-06,4.29E-07,2.77E-14,0,2.76E-06,7.93E-08,0,29.71207619,35.16484833,0.051017728,0.003647557,1.32E-06,1.00E-12,9.92E-13,0.344123006,0.074432246,0.22455135,6539.939453,2014,58720.51737,7452.834832,FALSE,,58.72051737,7.452834832
9,15,6088_15,19/12/2014,11:18:00 AM,1,AIMS,6088,100,-15.5558333,145.97,Vertical Tow,20,0,0,0,0,0,0,0,0,14_15,0,353,-12,68130.85074,68.13085074,-15.5569824,145.9684929,2014-12-19T11:18:00+10:00,2014-12-19T12:00:00+10:00,2014-12-19T12:00:00+10:00,0,9.94E-08,4.13E-07,1.63E-07,3.97E-07,1.06E-06,1.59E-07,4.31E-07,0,4.52E-07,5.87E-08,1.18E-08,1.23E-05,3.77E-07,1.73E-07,2.87E-09,3.42E-08,1.03E-07,4.24E-08,5.26E-09,3.61E-12,4.47E-14,9.87E-07,1.92E-07,3.33E-08,1.80E-07,4.37E-07,1.61E-07,2.46E-06,6.40E-05,1.60E-07,4.37E-07,5.55E-06,1.18E-08,3.09E-07,2.17E-06,9.99E-08,0.000104414,6.95E-07,1.03E-06,5.90E-10,9.94E-09,3.93E-07,6.20E-07,3.78E-09,4.80E-07,1.68E-06,4.99E-07,1.55E-12,2.56E-08,1.89E-06,1.58E-07,3.50E-06,3.51E-09,2.80E-07,6.55E-08,1.29E-07,1.88E-07,1.76E-07,2.57E-07,2.26E-07,5.02E-06,3.63E-07,2.59E-14,0,2.11E-06,6.59E-08,0,29.74047852,35.16518784,0.048980497,0.003610028,1.31E-06,1.00E-12,9.92E-13,0.337495923,0.071426027,0.235411167,6553.61084,2014,68130.85074,16388.04122,FALSE,,68.13085074,16.38804122
10,22,6088_22,20/12/2014,8:00:00 AM,1,AIMS,6088,35,-15.647,145.5763333,Vertical Tow,7,286623134.4,40946162.06,57.79497394,130.5468883,37.11262895,8.256424848,18.64955547,5.301804136,14_15,7.612213212,354,-11,24552.95033,24.55295033,-15.6641428,145.596731,2014-12-20T08:00:00+10:00,2014-12-19T12:00:00+10:00,2014-12-20T12:00:00+10:00,0.833333333,1.55E-07,5.06E-07,2.70E-07,5.45E-07,1.40E-06,2.45E-07,6.97E-07,0,7.78E-07,9.70E-08,1.54E-08,1.39E-05,6.88E-07,2.46E-07,3.87E-09,6.26E-08,1.98E-07,9.04E-08,7.13E-09,4.44E-12,5.48E-14,2.73E-06,2.98E-07,4.89E-08,2.92E-07,5.23E-07,2.60E-07,3.71E-06,0.000103209,3.20E-07,6.57E-07,7.75E-06,1.22E-08,3.34E-07,3.06E-06,1.62E-07,9.86E-05,1.11E-06,1.09E-06,7.45E-10,1.36E-08,5.45E-07,1.05E-06,5.16E-09,9.81E-07,2.60E-06,8.04E-07,1.92E-12,3.51E-08,1.92E-06,2.98E-07,3.65E-06,4.70E-09,5.18E-07,1.18E-07,3.32E-07,2.68E-07,3.29E-07,4.74E-07,4.98E-07,5.15E-06,5.95E-07,3.18E-14,0,4.38E-06,1.12E-07,7.96E-06,28.94116306,35.22585297,0.091521285,0.023963767,0.001198252,0.007522013,6.61E-13,0.566549202,0.191441029,0.011301326,6508.491211,2014,24552.95033,25732.56649,TRUE,0.488270816,24.55295033,25.73256649
