"","Reef","Collection.org","Year","grp","date_edna","conc_mean","perc_pos","n_samples"
"1","(Big) Broadhurst Reef (No 1) (18-100a)","Other","2025",1,2025-04-06,7.625,50,24
"2","Bait Reef (19-137)","AIMS","2019",1,2019-05-06,8.14243480555555,22.2222222222222,9
"3","Bait Reef (19-137)","Other","2023",1,2023-11-03,5.88427339783333,19.4444444444444,36
"4","Banfield Reef (North) (18-105a)","AIMS","2023",1,2023-03-31,25.960336197125,83.3333333333333,24
"5","Banfield Reef (North) (18-105a)","Other","2025",1,2025-04-02,42.1040624875417,83.3333333333333,24
"6","Banfield Reef (North) (18-105a)","Other","2025",2,2025-08-04,90.8664838145417,100,24
"7","Batt Reef (16-029)","AIMS","2021",1,2021-05-16,52.7305201252222,91.6666666666667,36
"8","Batt Reef (16-029)","AIMS","2022",1,2022-05-18,20.62412059575,72.2222222222222,36
"9","Batt Reef (16-029)","AIMS","2023",1,2023-07-03,54.9081079048333,91.6666666666667,36
"10","Batt Reef (16-029)","AIMS","2025",1,2025-06-03,16.1279925150238,76.1904761904762,42
"11","Bowden Reef (19-019)","AIMS","2019",1,2019-05-08,182.890612138,75,60
"12","Bowden Reef (19-019)","AIMS","2020",1,2020-05-14,93.375,91.6666666666667,60
"13","Bowden Reef (19-019)","AIMS","2021",1,2021-05-23,143.612610456111,97.2222222222222,36
"14","Bowden Reef (19-019)","AIMS","2022",1,2022-05-22,92.3476109454444,97.2222222222222,36
"15","Bowden Reef (19-019)","AIMS","2023",1,2023-07-07,53.0129445724167,97.2222222222222,36
"16","Bowden Reef (19-019)","AIMS","2025",1,2025-08-03,16.1508173148333,76.1904761904762,42
"17","Bushy-Redbill Reef (20-310)","Other","2025",1,2025-08-23,54.6670385205833,87.5,24
"18","Cairns Reef (15-086)","AIMS","2021",1,2021-05-17,1.13825332522222,11.1111111111111,36
"19","Cairns Reef (15-086)","AIMS","2022",1,2022-05-15,1.27834999002778,11.1111111111111,36
"20","Cairns Reef (15-086)","AIMS","2023",1,2023-06-28,5.03126426283333,47.2222222222222,36
"21","Cairns Reef (15-086)","AIMS","2025",1,2025-06-02,5.50036506438889,47.2222222222222,36
"22","Clack Reef (14-017)","AIMS","2021",1,2021-05-20,4.77732187255556,33.3333333333333,36
"23","Cobham Reef (North) (19-074a)","Other","2023",1,2023-11-07,3.85460065047222,30.5555555555556,36
"24","Corbett Reef (14-016)","AIMS","2021",1,2021-05-19,10.2555248659722,13.8888888888889,36
"25","Corbett Reef (14-016)","AIMS","2023",1,2023-06-29,44.3829793026111,88.8888888888889,36
"26","Corbett Reef (14-016)","AIMS","2025",1,2025-05-30,9.39591121855556,50,36
"27","Corbett Reef (14-016)","Other","2022",1,2022-10-26,134.587087374972,97.2222222222222,36
"28","Darley Reef (19-043)","AIMS","2023",1,2023-03-28,10.7024802471458,47.9166666666667,48
"29","Davie Reef (13-130)","AIMS","2021",1,2021-05-19,0.446899810583333,5.55555555555556,36
"30","Davie Reef (13-130)","AIMS","2023",1,2023-06-29,2.02223360530556,16.6666666666667,36
"31","Davie Reef (13-130)","AIMS","2025",1,2025-05-30,0.430960518611111,2.77777777777778,36
"32","Davies Reef (18-096)","AIMS","2019",1,2019-05-10,172.798739894177,97.4683544303797,79
"33","Davies Reef (18-096)","AIMS","2020",1,2020-05-16,46.35,88.3333333333333,60
"34","Davies Reef (18-096)","AIMS","2021",1,2021-05-24,97.1972472083056,91.6666666666667,36
"35","Davies Reef (18-096)","AIMS","2022",1,2022-05-22,50.6551927074444,83.3333333333333,36
"36","Davies Reef (18-096)","AIMS","2022",2,2022-12-27,59.0766026534857,94.4444444444444,36
"37","Davies Reef (18-096)","AIMS","2023",1,2023-03-25,11.9897634220417,54.1666666666667,24
"38","Davies Reef (18-096)","AIMS","2023",2,2023-07-08,57.8024615542222,97.2222222222222,36
"39","Davies Reef (18-096)","AIMS","2024",1,2024-01-04,504.403960277778,100,36
"40","Davies Reef (18-096)","AIMS","2024",2,2024-08-19,61.7297736322222,100,36
"41","Davies Reef (18-096)","AIMS","2024",3,2024-12-21,59.1367282447222,97.2222222222222,36
"42","Davies Reef (18-096)","AIMS","2025",1,2025-08-03,71.8017341748333,95.2380952380952,42
"43","Elford Reef (16-073)","AIMS","2022",1,2022-05-20,4.88927609577778,38.8888888888889,36
"44","Elford Reef (16-073)","AIMS","2023",1,2023-07-05,0.446926942083333,5.55555555555556,36
"45","Elford Reef (16-073)","Other","2020",1,2020-09-16,17.4584687528667,73.3333333333333,30
"46","Elizabeth Reef (19-082)","AIMS","2019",1,2019-05-07,1.73066370166667,5.55555555555556,18
"47","Elizabeth Reef (19-082)","AIMS","2020",1,2020-05-12,0.713114754098361,6.55737704918033,61
"48","Erub Island","AIMS","2022",1,2022-03-31,266.6207281435,97.9166666666667,48
"49","Eyrie Reef (14-118)","AIMS","2021",1,2021-08-22,12.04304084025,72.2222222222222,36
"50","Eyrie Reef (14-118)","AIMS","2022",1,2022-08-22,8.19058247525,44.4444444444444,36
"51","Eyrie Reef (14-118)","AIMS","2023",1,2023-09-16,18.2344550581111,77.7777777777778,36
"52","Eyrie Reef (14-118)","AIMS","2025",1,2025-09-26,18.122487329,78.5714285714286,42
"53","Faith Reef (19-044)","AIMS","2023",1,2023-03-30,154.63194590375,75,12
"54","Gould Reef (No 1) (19-072a)","Other","2023",1,2023-11-07,0.442336266861111,5.55555555555556,36
"55","Green Island Reef (16-049)","AIMS","2021",1,2021-05-15,10.6300042483143,57.1428571428571,35
"56","Green Island Reef (16-049)","AIMS","2022",1,2022-05-19,24.80342465775,77.7777777777778,36
"57","Green Island Reef (16-049)","AIMS","2023",1,2023-07-04,10.9502226888333,72.2222222222222,36
"58","Green Island Reef (16-049)","AIMS","2025",1,2025-08-01,3.20106328788889,22.2222222222222,36
"59","Hedge Reef (13-108)","AIMS","2023",1,2023-06-30,44.0370432890556,88.8888888888889,36
"60","Hedge Reef (13-108)","AIMS","2025",1,2025-05-29,54.7157474341944,97.2222222222222,36
"61","Jacqueline Reef (19-061)","Other","2023",1,2023-11-05,8.31864108422857,42.8571428571429,35
"62","John Brewer Reef (18-075)","AIMS","2025",1,2025-08-02,23.1488904653095,66.6666666666667,42
"63","Judith Wright Reef (18-101)","Other","2025",1,2025-08-05,131.47765900625,79.1666666666667,24
"64","Keeper Reef (18-079)","AIMS","2020",1,2020-05-18,30.3,80,30
"65","Kelso Reef (18-030)","Other","2020",1,2020-09-19,27.617034981,90,30
"66","Lizard Island Reef (Lagoon) (14-116d)","AIMS","2019",1,2019-08-26,16.6666666666667,24.4444444444444,90
"67","Lizard Island Reef (Lagoon) (14-116d)","AIMS","2020",1,2020-08-26,3.23282814492222,24.4444444444444,90
"68","Lizard Island Reef (Lagoon) (14-116d)","AIMS","2021",1,2021-08-20,9.19535818487778,45.5555555555556,90
"69","Lizard Island Reef (Lagoon) (14-116d)","AIMS","2022",1,2022-08-21,16.7011057280889,57.7777777777778,90
"70","Lizard Island Reef (Lagoon) (14-116d)","AIMS","2023",1,2023-09-15,31.1575270993111,71.1111111111111,90
"71","Lizard Island Reef (Lagoon) (14-116d)","AIMS","2024",1,2024-09-14,33.3594850262833,83.3333333333333,60
"72","Lizard Island Reef (Lagoon) (14-116d)","AIMS","2025",1,2025-09-23,26.8814201105833,76.6666666666667,60
"73","Lizard Island Reef (North East) (14-116b)","AIMS","2019",1,2019-08-28,3.6,16.6666666666667,30
"74","Lizard Island Reef (North East) (14-116b)","AIMS","2020",1,2020-08-28,4.3743973841,33.3333333333333,30
"75","Lizard Island Reef (North East) (14-116b)","AIMS","2021",1,2021-08-23,5.35804552763333,40,30
"76","Lizard Island Reef (North East) (14-116b)","AIMS","2022",1,2022-08-23,4.75968511756667,36.6666666666667,30
"77","Lizard Island Reef (North East) (14-116b)","AIMS","2023",1,2023-09-15,19.4232732425,80,30
"78","Lizard Island Reef (North East) (14-116b)","AIMS","2024",1,2024-09-14,6.9807570562,45,20
"79","Lizard Island Reef (North East) (14-116b)","AIMS","2025",1,2025-09-24,7.6742113476,45,20
"80","Lizard Island Reef (North West) (14-116a)","AIMS","2019",1,2019-08-29,13.9,30,30
"81","Lizard Island Reef (North West) (14-116a)","AIMS","2020",1,2020-08-28,21.4446040675,53.3333333333333,30
"82","Lizard Island Reef (North West) (14-116a)","AIMS","2021",1,2021-08-20,53.3754216111,93.3333333333333,30
"83","Lizard Island Reef (North West) (14-116a)","AIMS","2022",1,2022-08-22,27.7820905481667,76.6666666666667,30
"84","Lizard Island Reef (North West) (14-116a)","AIMS","2023",1,2023-09-15,21.9019845868667,83.3333333333333,30
"85","Lizard Island Reef (North West) (14-116a)","AIMS","2024",1,2024-09-14,46.49549630455,100,20
"86","Lizard Island Reef (North West) (14-116a)","AIMS","2025",1,2025-09-24,1.72490727175,15,20
"87","Lynchs Reef (18-091)","AIMS","2023",1,2023-04-01,17.7184463516875,64.5833333333333,48
"88","McSweeney Reef (11-016)","AIMS","2023",1,2023-12-23,239.607690395222,94.4444444444444,36
"89","McSweeney Reef (11-016)","Other","2021",1,2021-11-27,954.835401976444,100,36
"90","McSweeney Reef (11-016)","Other","2022",1,2022-10-31,1356.37157502361,100,36
"91","Mer Island","AIMS","2022",1,2022-03-28,793.208031191022,93.4782608695652,46
"92","Monsoon Reef (11-029)","AIMS","2023",1,2023-12-24,247.446731321861,97.2222222222222,36
"93","Monsoon Reef (11-029)","Other","2022",1,2022-10-31,293.640664175417,97.2222222222222,36
"94","Moore Reef (16-071)","AIMS","2021",1,2021-05-14,391.490065237944,75,36
"95","Moore Reef (16-071)","AIMS","2022",1,2022-05-20,9.04026916163889,36.1111111111111,36
"96","Moore Reef (16-071)","AIMS","2023",1,2023-07-05,40.4483961066111,69.4444444444444,36
"97","Moore Reef (16-071)","AIMS","2025",1,2025-06-04,8.54754845319444,58.3333333333333,36
"98","Moore Reef (16-071)","Other","2020",1,2020-09-14,15.9994447654375,59.375,32
"99","North Direction Reef (14-143)","AIMS","2021",1,2021-08-24,4.91561198522222,30.5555555555556,36
"100","North Direction Reef (14-143)","AIMS","2022",1,2022-08-21,2.59166744841667,30.5555555555556,36
