"Reef","ReefID","Longitude","Latitude","date_edna","perc_pos","conc_mean","n_samples","cpue_category","category"
"Andersen Reef (15-090)","15-090",145.80300725,-15.78697225,2026-01-30,37.5,3.93115493934601,24,"< 0.01 CPUE","Non-target reef with eDNA"
"Bacchi Reef (21-495)","21-495",152.3858725,-21.6319575,2025-11-03,45.8333333333333,4.22634424176067,24,"< 0.01 CPUE","Non-target reef with eDNA"
"Corbett Reef (14-016)","14-016",144.179833333333,-13.8905555566667,2025-05-30,50,9.39591121855556,36,"0.01–0.04 CPUE","Non-target reef with eDNA"
"Davie Reef (13-130)","13-130",144.4412389,-13.97595,2025-05-30,2.77777777777778,0.430960518611111,36,"< 0.01 CPUE","Non-target reef with eDNA"
"Dicks Reef (22-141)","22-141",152.6596085,-22.30402375,2026-01-13,20.8333333333333,5.88415253441781,24,"< 0.01 CPUE","Non-target reef with eDNA"
"Hedge Reef (13-108)","13-108",144.001416666667,-13.78388889,2025-05-29,97.2222222222222,54.7157474341944,36,"> 0.08 CPUE","Non-target reef with eDNA"
"Houdini Reef (21-524)","21-524",152.42182375,-21.823205,2026-01-12,8.33333333333333,1.29431274253875,24,"< 0.01 CPUE","Non-target reef with eDNA"
"Lavers Reef (21-235)","21-235",152.00885225,-21.21861125,2026-01-10,70.8333333333333,13.4023945080116,24,"0.04–0.08 CPUE","Non-target reef with eDNA"
"Littles Reef (21-589)","21-589",152.54295875,-21.97565375,2025-11-05,20.8333333333333,4.09512249752879,24,"< 0.01 CPUE","Non-target reef with eDNA"
"Long Reef (21-543)","21-543",152.39234275,-21.92119475,2025-11-06,37.5,4.18457160703838,24,"< 0.01 CPUE","Non-target reef with eDNA"
"North West Reef (16-072)","16-072",146.39527475,-16.87501925,2026-01-24,4.16666666666667,1.10192196443677,24,"< 0.01 CPUE","Non-target reef with eDNA"
"Pellowe Reef (16-070)","16-070",146.348786,-16.85281,2026-01-24,66.6666666666667,21.2370602414012,24,"0.04–0.08 CPUE","Non-target reef with eDNA"
"Rachel Carson Reef (15-092)","15-092",145.816084782609,-15.8261839130435,2026-01-26,34.7826086956522,3.0700569000581,23,"< 0.01 CPUE","Non-target reef with eDNA"
"Rib Reef (18-032)","18-032",146.871847766667,-18.4774555566667,2025-08-02,91.6666666666667,65.1450076104722,36,"> 0.08 CPUE","Non-target reef with eDNA"
"Ribbon No 5 Reef (15-038)","15-038",145.7834222,-15.37398333,2025-06-01,13.8888888888889,1.14655463644444,36,"< 0.01 CPUE","Non-target reef with eDNA"
"Ribbon No 9 Reef (14-154)","14-154",145.7075722,-14.9962111133333,2025-05-31,0,0,36,"< 0.01 CPUE","Non-target reef with eDNA"
"Ruby Reef (15-088)","15-088",145.77805526087,-15.7435317391304,2026-01-30,21.7391304347826,2.06255920879219,23,"< 0.01 CPUE","Non-target reef with eDNA"
"Turner Reef (21-562)","21-562",152.56031875,-21.71986,2026-01-11,29.1666666666667,2.95805842615664,24,"< 0.01 CPUE","Non-target reef with eDNA"
"U/N Reef (13-093a)","13-093a",143.989449966667,-13.7474555566667,2025-05-29,86.1111111111111,46.0115447019722,36,"> 0.08 CPUE","Non-target reef with eDNA"
"U/N Reef (13-124)","13-124",144.0488889,-13.8673555566667,2025-05-29,77.7777777777778,29.4145235486944,36,"0.04–0.08 CPUE","Non-target reef with eDNA"
"U/N Reef (15-043)","15-043",145.49217625,-15.41910925,2026-01-27,79.1666666666667,26.5476956730708,24,"0.04–0.08 CPUE","Non-target reef with eDNA"
"U/N Reef (20-383)","20-383",151.2100055,-20.93064425,2025-02-09,25,2.31771995325,24,"< 0.01 CPUE","Non-target reef with eDNA"
"U/N Reef (21-057)","21-057",150.45094,-21.1393925,2025-08-22,16.6666666666667,1.56799391841667,24,"< 0.01 CPUE","Non-target reef with eDNA"
"U/N Reef (21-067)","21-067",150.89632175,-21.11535175,2025-02-07,50,18.4416108281667,24,"0.04–0.08 CPUE","Non-target reef with eDNA"
"U/N Reef (21-069)","21-069",150.99388275,-21.1126435,2025-02-08,4.16666666666667,0.347517128083333,24,"< 0.01 CPUE","Non-target reef with eDNA"
