"CPUE","Radius","Regime","% Pos Target","TPR","FPR","Sensitivity","Precision","F1"
"0.02","1000m Radius","3x12 Density",60,0.947368421036011,0.403846153838388,0.947368421036011,0.7199999999904,0.818181817678719
"0.02","1000m Radius","4x6 Density",60,0.714285714234694,0.28571428570068,0.714285714234694,0.624999999960937,0.666666666124444
"0.02","2000m Radius","3x12 Density",46,0.855421686736682,0.508196721303144,0.855421686736682,0.696078431365725,0.767567567064543
"0.02","2000m Radius","4x6 Density",46,0.899999999955,0.099999999995,0.899999999955,0.899999999955,0.899999999455
"0.02","200m Radius","3x12 Density",52,0.904761904718821,0.363636363603306,0.904761904718821,0.826086956485822,0.863636363098141
"0.02","200m Radius","4x6 Density",52,0.99999999975,0,0.99999999975,0.99999999975,0.99999999925
"0.02","500m Radius","3x12 Density",46,0.958333333313368,0.542857142841633,0.958333333313368,0.70769230768142,0.814159291532305
"0.02","500m Radius","4x6 Density",46,0.916666666590278,0.266666666648889,0.916666666590278,0.733333333284444,0.814814814260631
"0.04","1000m Radius","3x12 Density",84,0.76470588233045,0.2399999999968,0.76470588233045,0.590909090895661,0.666666666157791
"0.04","1000m Radius","4x6 Density",84,0.333333333305556,0.130434782603025,0.333333333305556,0.571428571346939,0.421052631069252
"0.04","2000m Radius","3x12 Density",64,0.894736842081718,0.481132075467159,0.894736842081718,0.399999999995294,0.552845528019301
"0.04","2000m Radius","4x6 Density",64,0.687499999957031,0.249999999989583,0.687499999957031,0.647058823491349,0.666666666126722
"0.04","200m Radius","3x12 Density",94,0.69999999993,0.136363636357438,0.69999999993,0.69999999993,0.69999999943
"0.04","200m Radius","4x6 Density",94,0.7499999998125,0,0.7499999998125,0.999999999666667,0.857142856408163
"0.04","500m Radius","3x12 Density",84,0.749999999973214,0.272727272722314,0.749999999973214,0.58333333331713,0.656249999487305
"0.04","500m Radius","4x6 Density",84,0.39999999996,0.117647058816609,0.39999999996,0.666666666555556,0.49999999946875
