ReefName,ReefLabel,SurveyTime,ScarsCount,CrownOfThornsStarfishCount,FeedingScarCountRangeCode
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
John Brewer Reef (18-075),18-075,2020-06-07T00:00:00Z,NA,0,a
