ReefName,ReefLabel,SurveyDate,Bottomtime,Cohort1,Cohort2,Cohort3,Cohort4
Emperor Reef (21-538),21-538,2026-01-28T00:00:00Z,276,0,1,0,0
Emperor Reef (21-538),21-538,2026-01-28T00:00:00Z,557,0,1,0,2
Emperor Reef (21-538),21-538,2026-01-28T00:00:00Z,215,0,0,0,0
Emperor Reef (21-538),21-538,2026-01-27T00:00:00Z,560,1,3,7,18
Emperor Reef (21-538),21-538,2026-01-27T00:00:00Z,566,0,8,4,33
Emperor Reef (21-538),21-538,2026-01-27T00:00:00Z,105,0,1,5,7
Emperor Reef (21-538),21-538,2026-01-27T00:00:00Z,520,0,0,0,0
Emperor Reef (21-538),21-538,2026-01-27T00:00:00Z,305,0,2,3,5
Emperor Reef (21-538),21-538,2026-01-26T00:00:00Z,180,0,1,1,0
Emperor Reef (21-538),21-538,2026-01-26T00:00:00Z,280,1,3,5,1
Emperor Reef (21-538),21-538,2026-01-26T00:00:00Z,280,0,1,0,1
Emperor Reef (21-538),21-538,2026-01-26T00:00:00Z,290,0,0,0,0
Emperor Reef (21-538),21-538,2026-01-26T00:00:00Z,300,0,0,0,2
Emperor Reef (21-538),21-538,2026-01-26T00:00:00Z,275,0,0,0,0
Emperor Reef (21-538),21-538,2026-01-26T00:00:00Z,245,0,0,0,0
Emperor Reef (21-538),21-538,2026-01-26T00:00:00Z,280,0,0,0,0
Chinaman Reef (16-024),16-024,2026-01-25T00:00:00Z,210,0,1,1,1
Chinaman Reef (16-024),16-024,2026-01-25T00:00:00Z,180,0,0,0,0
Emperor Reef (21-538),21-538,2026-01-25T00:00:00Z,286,0,0,0,0
Emperor Reef (21-538),21-538,2026-01-25T00:00:00Z,270,0,0,0,0
Emperor Reef (21-538),21-538,2026-01-25T00:00:00Z,259,0,0,0,1
Emperor Reef (21-538),21-538,2026-01-25T00:00:00Z,270,0,0,0,2
Emperor Reef (21-538),21-538,2026-01-25T00:00:00Z,290,0,0,1,0
Emperor Reef (21-538),21-538,2026-01-25T00:00:00Z,480,0,0,0,0
Emperor Reef (21-538),21-538,2026-01-25T00:00:00Z,280,0,0,0,0
Chinaman Reef (16-024),16-024,2026-01-24T00:00:00Z,425,1,17,5,1
Chinaman Reef (16-024),16-024,2026-01-24T00:00:00Z,456,0,7,1,1
Chinaman Reef (16-024),16-024,2026-01-24T00:00:00Z,90,0,0,0,0
Chinaman Reef (16-024),16-024,2026-01-24T00:00:00Z,362,0,1,0,0
Emperor Reef (21-538),21-538,2026-01-24T00:00:00Z,300,0,0,0,0
U/N Reef (21-531),21-531,2026-01-24T00:00:00Z,280,0,0,0,0
Emperor Reef (21-538),21-538,2026-01-24T00:00:00Z,196,0,0,0,0
Emperor Reef (21-538),21-538,2026-01-24T00:00:00Z,212,0,0,0,2
Emperor Reef (21-538),21-538,2026-01-24T00:00:00Z,275,0,0,0,0
Emperor Reef (21-538),21-538,2026-01-24T00:00:00Z,160,0,0,0,0
Emperor Reef (21-538),21-538,2026-01-24T00:00:00Z,180,0,0,0,0
U/N Reef (21-531),21-531,2026-01-24T00:00:00Z,290,0,0,0,0
Chinaman Reef (16-024),16-024,2026-01-23T00:00:00Z,472,0,1,0,0
Chinaman Reef (16-024),16-024,2026-01-23T00:00:00Z,492,1,9,3,4
Chinaman Reef (16-024),16-024,2026-01-23T00:00:00Z,460,1,6,6,5
U/N Reef (21-531),21-531,2026-01-23T00:00:00Z,295,0,0,0,0
U/N Reef (21-531),21-531,2026-01-23T00:00:00Z,260,0,0,1,0
U/N Reef (21-530),21-530,2026-01-23T00:00:00Z,280,0,0,0,0
U/N Reef (21-530),21-530,2026-01-23T00:00:00Z,295,0,0,0,0
U/N Reef (21-531),21-531,2026-01-23T00:00:00Z,255,0,0,1,0
U/N Reef (21-531),21-531,2026-01-23T00:00:00Z,260,0,0,0,0
Chinaman Reef (16-024),16-024,2026-01-22T00:00:00Z,385,0,6,3,1
Chinaman Reef (16-024),16-024,2026-01-22T00:00:00Z,405,1,5,2,1
Chinaman Reef (16-024),16-024,2026-01-22T00:00:00Z,420,0,4,6,6
Wheeler Reef (18-095),18-095,2026-01-22T00:00:00Z,180,0,4,3,0
Wheeler Reef (18-095),18-095,2026-01-22T00:00:00Z,208,0,1,0,0
Wheeler Reef (18-095),18-095,2026-01-22T00:00:00Z,172,0,1,3,0
Wheeler Reef (18-095),18-095,2026-01-22T00:00:00Z,180,0,2,2,1
Tongue Reef (16-026),16-026,2026-01-21T00:00:00Z,360,1,2,1,0
Tongue Reef (16-026),16-026,2026-01-21T00:00:00Z,220,0,0,0,0
Chinaman Reef (16-024),16-024,2026-01-21T00:00:00Z,320,1,2,0,0
Tongue Reef (16-026),16-026,2026-01-21T00:00:00Z,252,0,2,1,0
Tongue Reef (16-026),16-026,2026-01-21T00:00:00Z,160,0,0,0,1
Tongue Reef (16-026),16-026,2026-01-21T00:00:00Z,160,0,0,0,2
U/N Reef (21-551),21-551,2026-01-21T00:00:00Z,500,0,0,0,0
U/N Reef (21-551),21-551,2026-01-21T00:00:00Z,425,0,0,0,0
Saville-Kent Reef (18-099),18-099,2026-01-21T00:00:00Z,184,0,0,0,1
Saville-Kent Reef (18-099),18-099,2026-01-21T00:00:00Z,156,0,1,3,0
Saville-Kent Reef (18-099),18-099,2026-01-21T00:00:00Z,176,0,0,0,0
Saville-Kent Reef (18-099),18-099,2026-01-21T00:00:00Z,144,0,3,1,0
Batt Reef (16-029),16-029,2026-01-20T00:00:00Z,400,0,2,0,0
Batt Reef (16-029),16-029,2026-01-20T00:00:00Z,400,1,1,0,0
Batt Reef (16-029),16-029,2026-01-20T00:00:00Z,400,0,1,0,0
