ReefName,Year,LOD_sample_positive,Conc_mean
Bait Reef (19-137),2019,1,35.93495563
Bait Reef (19-137),2019,1,37.34695762
Bait Reef (19-137),2019,0,0
Bait Reef (19-137),2019,0,0
Bait Reef (19-137),2019,0,0
Bait Reef (19-137),2019,0,0
Bait Reef (19-137),2019,0,0
Bait Reef (19-137),2019,0,0
Bait Reef (19-137),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,1,31.15194663
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Elizabeth Reef (19-082),2019,0,0
Bowden Reef (19-019),2019,1,188.6711486
Bowden Reef (19-019),2019,1,517.27231
Bowden Reef (19-019),2019,1,393.5359731
Bowden Reef (19-019),2019,1,888.4515613
Bowden Reef (19-019),2019,1,522
Bowden Reef (19-019),2019,1,283.5
Bowden Reef (19-019),2019,1,544.5
Bowden Reef (19-019),2019,1,432
Bowden Reef (19-019),2019,1,454.5
Bowden Reef (19-019),2019,1,445.5
Bowden Reef (19-019),2019,0,0
Bowden Reef (19-019),2019,0,0
Bowden Reef (19-019),2019,1,31.5
Bowden Reef (19-019),2019,1,36
Bowden Reef (19-019),2019,1,36
Bowden Reef (19-019),2019,1,594
Bowden Reef (19-019),2019,0,0
Bowden Reef (19-019),2019,1,126
Bowden Reef (19-019),2019,0,0
Bowden Reef (19-019),2019,1,1255.5
Bowden Reef (19-019),2019,1,306
