ReefName,ReefLabel,SurveyTime,ScarsCount,CrownOfThornsStarfishCount,FeedingScarCountRangeCode
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
Lady Musgrave Reef (23-082a),23-082a,2020-01-03T00:00:00Z,NA,0,a
